#Umgebungsdruck: 1011hPa
#Enddruck: 7.1e-3hPa
#Zeit, Druck in hPa
0   1010   1011    1010 
10  635.0  642.7   662.4
20  487.7  484.1   493.3
30  365.4  372.0   371.9
40  274.1  278.5   277.7
50  203.4  205.0   204.8
60  148.4  154.0   150.1
70  113.2  110.6   110.5
80  80.8   83.5    81.1 
90  58.3   58.9    59.3 
100 43.3   43.0    42.3 
110 30.4   30.0    30.8 
120 22.3   22.6    22.4 
130 16.2   16.4    16.4 
140 11.9   12.1    12.2 
150 8.7    8.7     9.0  
160 6.4    6.1     6.4  
170 4.7    4.8     4.7  
180 3.7    3.7     3.8  
190 2.9    3.0     3.0  
200 2.4    2.4     2.4  
210 2.0    2.0     2.0  
220 1.7    1.7     1.7  
230 1.4    1.4     1.4  
240 1.3    1.3     1.3  
250 1.1    1.1     1.1  
260 0.97   0.97    0.97 
270 0.88   0.88    0.88 
280 0.80   0.80    0.80 
290 0.72   0.72    0.72 
300 0.65   0.66    0.66 
310 0.61   0.61    0.61 
320 0.56   0.57    0.57 
330 0.53   0.53    0.53 
340 0.49   0.49    0.49 
350 0.46   0.46    0.46 
360 0.43   0.43    0.43 
370 0.41   0.41    0.41 
380 0.39   0.39    0.39 
390 0.37   0.37    0.36 
400 0.35   0.35    0.35 
410 0.33   0.32    0.32 
420 0.32   0.31    0.31 
430 0.30   0.30    0.30 
440 0.29   0.29    0.28 
450 0.28   0.27    0.27 
460 0.26   0.26    0.26 
470 0.26   0.25    0.25 
480 0.25   0.24    0.24 
490 0.23   0.23    0.23 
500 0.23   0.22    0.23 
510 0.22   0.22    0.21 
520 0.21   0.21    0.20 
530 0.20   0.20    0.20 
540 0.20   0.20    0.19 
550 0.19   0.19    0.18 
560 0.18   0.18    0.18 
570 0.18   0.18    0.17 
580 0.17   0.17    0.17 
590 0.17   0.17    0.16 
600 0.16   0.16    0.16 
      
  
