#Enddruck=7.1e-3, in hPa
# 1:Zeit,      pG=0.5   
0         0.49  0.5   0.5 
5         1.4   1.5   1.5 
10        1.7   1.7   1.7 
20        1.8   1.8   1.9 
30        1.9   1.9   2.0 
40        2.0   2.0   2.0 
50        2.1   2.1   2.1 
60        2.2   2.2   2.2 
70        2.3   2.3   2.3 
80        2.4   2.4   2.5 
90        2.5   2.6   2.6 
100       2.6   2.7   2.7 
110       2.7   2.8   2.8    
120       2.8   2.9   2.9    
130       2.9   2.9   3.0    
140       3.0   3.0   3.1    
150       3.1   3.1   3.1    
160       3.2   3.2   3.2    
170       3.3   3.3   3.3    
180       3.4   3.4   3.5    
190       3.5   3.6   3.6    
200       3.6   3.7   3.7    
