#Enddruck: 7.69e-6, in e-3hPa
#1:Zeit,    2-4:pG=5e-5,               5-7:pG=7e-5                     pG=1e-4
0       0.0677  0.0591   0.0513     0.0698  0.0942  0.0723      
2       0.0948  0.0957   0.0991     0.118   0.119   0.117       
4       0.109   0.113    0.112      0.143   0.142   0.141       
6       0.128   0.126    0.128      0.177   0.177   0.177       
8       0.145   0.149    0.145      0.209   0.204   0.215       
10      0.166   0.171    0.168      0.234   0.236   0.232       
12      0.188   0.207    0.194      0.262   0.266   0.270       
14      0.206   0.230    0.207      0.288   0.295   0.292       
16      0.228   0.254    0.233      0.317   0.315   0.315       
18      0.245   0.280    0.248      0.343   0.333   0.333       
20      0.269   0.296    0.265      0.362   0.362   0.360       
22      0.280   0.307    0.282      0.387   0.389   0.388       
24      0.297   0.323    0.299      0.416   0.414   0.407       
26      0.305   0.341    0.312      0.437   0.439   0.442       
28      0.317   0.361    0.325      0.464   0.462   0.462       
30      0.335   0.377    0.345      0.491   0.499   0.499       
35      0.382   0.388    0.392      0.565   0.561   0.558       
40      0.427   0.429    0.429      0.638   0.636   0.623       
45      0.465   0.472    0.475      0.731   0.726   0.735       
50      0.514   0.515    0.520      0.853   0.841   0.837       
55      0.553   0.557    0.568      0.972   0.981   0.959       
60      0.605   0.610    0.613      1.10    1.10    1.10        
65      0.675   0.676    0.684      1.21    1.19    1.19        
70      0.738   0.738    0.748      1.32    1.33    1.31        
75      0.804   0.818    0.817      1.44    1.45    1.45        
80      0.886   0.891    0.907      1.58    1.57    1.57        
85      0.979   0.994    0.992      1.70    1.69    1.71        
90      1.06    1.06     1.06       1.85    1.85    1.82        
95      1.13    1.13     1.13       1.96    1.97    1.95        
100     1.19    1.20     1.21       2.11    2.14    2.13        
105     1.27    1.28     1.30       2.27    2.88    2.28        
110     1.37    1.37     1.38       2.46    2.49    2.46        
115     1.46    1.46     1.46       2.69    2.69    2.65        
120     1.53    1.54     1.54       2.84    2.86    2.84        
