# in e-3hPa
#1: Zeit, pG=2e-4
0    0.199   0.272
2    0.382   0.413
4    0.504   0.552
6    0.688   0.741
8    0.831   0.894
10   1.14    1.21 
12   1.38    1.45 
14   1.57    1.71 
16   1.92    1.94 
18   2.22    2.32 
20   2.49    2.52 
22   2.92    2.95 
24   3.27    3.40 
26   3.62    3.73 
28   3.87    4.09 
30   4.30    4.54 
35   5.25    5.31 
40   5.88    6.14 
45   6.84    7.03 
50   7.97    8.35 
55   8.95    9.42 
60  10.2    10.2  
65  10.7    10.9  
70  11.4    11.5  
75  12.0    12.1  
80  12.6    12.8  
85  13.5    13.6  
90  14.2    14.4  
95  15.0    15.2  
100 16.0    16.3  
105 16.8    17.1  
110 17.9    18.1  
115 18.8    18.9  
120 19.9    20.0  
 
