# Zeit [min], Widerstand Gefäß [Ohm], Widerstand Probe [Ohm], Strom Probe [mA], Spannung Probe [V]
0, 0.231, 0.237, 148.8, 15.59
2, 0.245, 0.255, 149.9, 15.70
4, 0.275, 0.268, 150.3, 15.76
6, 0.294, 0.283, 150.7, 15.81
8, 0.295, 0.296, 151.1, 15.86
10, 0.306, 0.311, 151.4, 15.89
12, 0.322, 0.323, 151.6, 15.93
14, 0.337, 0.337, 151.8, 15.95
16, 0.351, 0.350, 152.0, 15.97
18, 0.364, 0.363, 152.1, 16.00
20, 0.376, 0.375, 152.3, 16.01
22, 0.388, 0.388, 152.4, 16.03
24, 0.400, 0.400, 152.5, 16.05
26, 0.411, 0.412, 152.6, 16.06
28, 0.422, 0.423, 152.7, 16.08
30, 0.434, 0.435, 152.8, 16.09
32, 0.446, 0.447, 152.8, 16.10
34, 0.458, 0.458, 152.9, 16.11
36, 0.470, 0.469, 153.0, 16.12
38, 0.483, 0.481, 153.0, 16.13
40, 0.495, 0.492, 153.1, 16.14
42, 0.506, 0.504, 153.2, 16.15
44, 0.516, 0.515, 153.2, 16.16
46, 0.526, 0.525, 153.2, 16.16
48, 0.534, 0.536, 153.3, 16.17
50, 0.543, 0.547, 153.3, 16.17
52, 0.553, 0.557, 153.3, 16.18
56, 0.575, 0.577, 153.4, 16.19
58, 0.587, 0.587, 153.4, 16.20
60, 0.600, 0.598, 153.5, 16.20
62, 0.612, 0.609, 153.5, 16.20
64,
