# Winkel Alpha/Grad     Intensität/mW
a       I
0       0.15
10      0.39
20      0.72
30      1.13
40      1.42
50      1.75
60      1.97
70      2.05
80      2.13
90      2.00
100     1.72
110     1.46
120     1.08
130     0.67
140     0.39
150     0.14
160     0.02
170     0.02
180     0.13
190     0.34
200     0.66
210     0.13
220     1.41
230     1.75
240     1.96
250     2.08
260     2.12
270     1.86
280     1.68
290     1.15
300     1.04
310     0.68
320     0.37
330     0.14
340     0.02
350     0.02
