# Polarisation [Grad] Max [Volt] Min [Volt]
0,  2.02, 1.75
5,  1.82, 1.55
10, 1.82, 1.26
15, 1.91, 0.99
20, 1.73 ,0.74
25, 1.64, 0.52
30, 1.59, 0.13
35, 1.51, 0.27
40, 1.55, 0.22
45, 1.61, 0.18
50, 1.73, 0.16
55, 1.88, 0.15
60, 2.05, 0.19
65, 2.26, 0.28
70, 2.37, 0.37
75, 2.34, 0.60
80, 2.50, 0.86
85, 2.47, 1.37
90, 2.31, 1.77
95, 2.65, 1.79
100,3.23, 1.54
105,3.77, 1.28
110,4.12, 1.06
115,4.50, 0.72
120,5.18, 0.49
125,5.89, 0.29
130,6.09, 0.24
135,5.87, 0.27
140,5.95, 0.37
145,5.75, 0.55
150,5.46, 0.68
155,5.00, 0.97
160,4.64, 1.31
165,3.72, 1.48
170,3.21, 1.60
175,2.47, 1.79
180,2,12, 1.79
