# Polarisation [Grad] Max1 [Volt] Min1 [Volt] Max2 [Volt] Min2 [Volt]
0       2.02  1.75  2.12  1.80
5       1.82  1.55  1.92  1.53
10      1.82  1.26  1.87  1.23
15      1.91  0.99  1.88  0.95
20      1.73  0.74  1.78  0.69
25      1.64  0.52  1.63  0.51
30      1.59  0.33  1.56  0.43
#30      1.59  0.13  1.56  0.43
35      1.51  0.27  1.51  0.31
40      1.55  0.22  1.61  0.25
45      1.61  0.18  1.51  0.20
50      1.73  0.16  1.76  0.18
55      1.88  0.15  1.94  0.17
60      2.05  0.19  2.10  0.20
65      2.26  0.28  2.31  0.26
70      2.37  0.37  2.19  0.41
75      2.34  0.60  2.31  0.56
80      2.50  0.86  2.38  0.88
85      2.47  1.37  2.45  1.22
90      2.31  1.77  2.25  1.62
95      2.65  1.79  2.58  1.77
100     3.23  1.54  3.27  1.53
105     3.77  1.28  3.68  1.32
110     4.12  1.06  4.13  1.03
115     4.50  0.72  4.63  0.70
120     5.18  0.49  5.28  0.47
125     5.89  0.29  5.73  0.35
130     6.09  0.24  6.07  0.25
135     5.87  0.27  6.03  0.26
140     5.95  0.37  5.96  0.35
145     5.75  0.55  5.65  0.61
150     5.46  0.68  5.71  0.83
155     5.00  0.97  5.12  1.01
160     4.64  1.31  4.69  1.34
165     3.72  1.48  3.78  1.55
170     3.21  1.60  3.29  1.72
175     2.47  1.79  2.70  1.85
180     2.12  1.79  2.15  1.81
