#Messung für Brechungsindex Luft bei T=21.7°C
#Druck mbar N1, N2, N3, N4, N5
50      2   1  2  2  2 
100     4   3  4  4  4 
150     6   6  6  7  7 
200     9   8  9  9  9
250     11 10 11 11 11
300     13 12 13 13 13
350     15 14 15 15 15
400     17 16 18 17 17
450     19 18 20 19 19
500     21 20 22 21 21
550     23 22 24 23 23
600     25 25 26 25 26
650     28 27 29 28 28 
700     30 29 31 30 30 
750     32 31 33 32 32
800     34 33 35 34 34
850     36 35 37 36 36
900     38 37 40 38 38
950     40 40 43 40 41
1000    43 42 45 43 43
