#Enddruck=7.1e-3, in hPa
# 1:Zeit,        pG=10
0          10.0  10.1  10.1  
5          17.8  17.7  17.8  
10         19.7  19.2  19.7  
20         23.4  23.4  23.5  
30         27.1  26.8  27.2  
40         30.8  30.6  31.0  
50         34.6  34.3  34.7  
60         38.4  38.1  38.4  
70         42.1  42.1  42.2  
80         45.9  45.5  45.9  
90         49.7  49.3  49.8  
100        53.4  53.4  53.7  
110        57.1  56.8  57.1     
120        60.9  60.4  60.9     
130        64.6  64.2  64.6     
140        68.4  68.4  68.5     
150        72.1  71.7  72.2     
160        75.8  75.9  75.9     
170        79.6  79.7  79.6     
180        83.4  83.5  83.4     
190        87.0  87.1  87.1     
200        90.7  90.5  90.9     
