# in e-3hPa
#1: Zeit, pG=1e-4
0   0.119   0.112   0.110
2   0.163   0.156   0.154
4   0.214   0.203   0.203
6   0.253   0.253   0.262
8   0.295   0.300   0.303
10  0.338   0.346   0.341
12  0.383   0.391   0.382
14  0.421   0.415   0.422
16  0.475   0.465   0.469
18  0.515   0.512   0.509
20  0.558   0.558   0.564
22  0.609   0.607   0.599
24  0.647   0.651   0.656
26  0.715   0.697   0.728
28  0.770   0.771   0.784
30  0.853   0.851   0.871
35  1.07    1.08    1.05
40  1.24    1.25    1.23
45  1.45    1.43    1.43
50  1.64    1.65    1.62
55  1.84    1.86    1.84
60  2.05    2.05    2.09
65  2.34    2.30    2.33
70  2.63    2.59    2.61
75  2.90    2.90    2.92
80  3.18    3.19    3.23
85  3.47    3.44    3.45
90  3.75    3.72    3.71
95  4.05    4.01    3.99
100 4.34    4.34    4.38
105 4.70    4.67    4.69
110 5.03    4.99    4.97
115 5.27    5.25    5.25
120 5.37    5.36    5.35
